brand,domain,company,market,found_phone,source,status,notes
conversion-exotics,southbeachexoticrentals.com,southbeachexoticrentals.com,LA / Austin / Dallas,(305) 890-2051,https://southbeachexoticrentals.com,found,"score=22, distinct=1"
conversion-exotics,iceexotics.com,iceexotics.com,Atlanta GA,(404) 938-3572,https://iceexotics.com,found,"score=23, distinct=2"
conversion-exotics,milanoluxuryrental.com,milanoluxuryrental.com,Fort Lauderdale / Miami FL,(239) 351-7715,https://milanoluxuryrental.com,found,"score=20, distinct=5"
conversion-exotics,sapphireexecutivetravel.com,sapphireexecutivetravel.com,Houston TX,(281) 800-5523,https://sapphireexecutivetravel.com/contact,found,"score=21, distinct=1"
conversion-exotics,monzaexotics.com,monzaexotics.com,Los Angeles CA / San Francisco CA,(949) 877-6485,https://monzaexotics.com,found,"score=20, distinct=3"
conversion-exotics,mericamusclerentals.com,mericamusclerentals.com,Atlanta GA,(470) 906-7828,https://mericamusclerentals.com,found,"score=28, distinct=1"
conversion-exotics,luxeafmotors.com,luxeafmotors.com,Houston TX,(877) 881-7866,https://luxeafmotors.com,found,"score=55, distinct=2"
conversion-exotics,shiftrentalsllc.com,shiftrentalsllc.com,New York NY,,https://www.shiftrentalsllc.com/,no_phone_found,
conversion-exotics,embryexotics.com,embryexotics.com,Atlanta GA,(404) 436-0722,https://embryexotics.com/contact,found,"score=6, distinct=1"
conversion-exotics,gmluxe.net,gmluxe.net,Miami FL / Fort Lauderdale FL,,https://www.gmluxe.net/,invalid_area_code,"score=430, distinct=10 rejected_area=422"
conversion-exotics,vssrexotics.com,vssrexotics.com,Las Vegas NV,(702) 907-8477,https://www.vssrexotics.com/,found,"score=17, distinct=3"
conversion-exotics,preferredexotics.com,preferredexotics.com,Miami FL / Fort Lauderdale FL,(305) 209-3090,https://preferredexotics.com,found,"score=20, distinct=1"
conversion-exotics,bellablushcollective.com,bellablushcollective.com,Dallas / Fort Lauderdale / Austin TX,(205) 413-5103,https://www.bellablushcollective.com/,found,"score=374, distinct=7"
conversion-exotics,palmexoticrentals.com,palmexoticrentals.com,Miami FL,(939) 241-7326,https://palmexoticrentals.com,found,"score=14, distinct=1"
conversion-exotics,sarasotaluxurycarrentals.com,sarasotaluxurycarrentals.com,Austin TX (listed),(941) 600-9900,https://www.sarasotaluxurycarrentals.com/,found,"score=24, distinct=3"
conversion-exotics,blackravenluxury.com,blackravenluxury.com,Fort Lauderdale / Miami FL,(786) 202-6662,https://www.blackravenluxury.com/,found,"score=32, distinct=1"
conversionjet,privatejetclub.com,Privatejetclub,National,(888) 422-2021,https://privatejetclub.com,found,"score=6, distinct=2"
conversionjet,avalonairllc.com,Avalonairllc,National,,https://www.avalonairllc.com/,duplicate_phone_across_domains,"score=121, distinct=2 phone_seen_on=['avalonairllc.com', 'merlin1.com', 'flyvade.com']"
